url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,lat,long
https://charleston.craigslist.org/cto/d/2015-hyundai-sonata-in-great/6709264558.html,charleston,12700,2015,hyundai,sonata,excellent,"4 cylinders",gas,56697,clean,automatic,,fwd,mid-size,sedan,white,https://images.craigslist.org/00z0z_5pAmzw7CHd6_600x450.jpg,33.451209,-79.122849
https://charleston.craigslist.org/cto/d/06-bmw-z4/6718631118.html,charleston,10200,2006,bmw,z4,excellent,"6 cylinders",gas,104150,lien,manual,,rwd,compact,convertible,blue,https://images.craigslist.org/00N0N_6v3FTutZpSD_600x450.jpg,32.8215,-80.0568
https://charleston.craigslist.org/cto/d/2009-saturn-outlook-xemiles/6713936041.html,charleston,6995,2009,saturn,"outlook xe..",excellent,"6 cylinders",gas,97051,clean,automatic,5GZEV13D59J134116,fwd,full-size,SUV,brown,https://images.craigslist.org/00808_hUt7gVXqbW4_600x450.jpg,33.951833,-84.129696
https://charleston.craigslist.org/cto/d/2012-ford-escape-25-4-cylsun/6713882104.html,charleston,4950,2012,ford,"escape xlt",excellent,"4 cylinders",gas,157200,clean,automatic,1FMCU0D7XCKB26590,fwd,mid-size,SUV,grey,https://images.craigslist.org/01717_bkKjHaXvZTT_600x450.jpg,33.976392,-84.087467
https://charleston.craigslist.org/cto/d/1999-f250-super-duty-power/6718608506.html,charleston,7500,1999,ford,"f 250",,,diesel,,clean,automatic,,,,,,https://images.craigslist.org/00404_bPuj4QO4UGU_600x450.jpg,32.7976,-79.9493
https://charleston.craigslist.org/cto/d/1973-chevy-nova-hatchback/6704253618.html,charleston,5000,1973,chevrolet,nova,,"8 cylinders",gas,,clean,manual,,,,,,https://images.craigslist.org/00K0K_ZO6AwdEgb2_600x450.jpg,32.9515,-81.2586
https://charleston.craigslist.org/cto/d/1981-chevy-z28-camaro/6704248678.html,charleston,7500,1981,chevrolet,"z28 camaro",,"8 cylinders",gas,,clean,automatic,,,,,,https://images.craigslist.org/01313_4As3o7BXL2N_600x450.jpg,32.9515,-81.2586
https://charleston.craigslist.org/cto/d/1971-ford-f100/6704245428.html,charleston,4000,1971,ford,f100,,"8 cylinders",gas,,clean,manual,,,,truck,,https://images.craigslist.org/00000_a6AZ007r0zK_600x450.jpg,32.9515,-81.2586
https://charleston.craigslist.org/cto/d/1971-chevy-nova/6704240227.html,charleston,5000,1971,chevrolet,nova,,"8 cylinders",gas,,clean,automatic,,,,,,https://images.craigslist.org/00s0s_kJ1Tw7BqtoB_600x450.jpg,32.9515,-81.2586
https://charleston.craigslist.org/cto/d/1999-dodge-neon-t-white-coupe/6718583626.html,charleston,2500,1999,dodge,"neon r/t",excellent,"4 cylinders",gas,,clean,manual,,fwd,,,white,https://images.craigslist.org/00g0g_4FQFQFC1XoZ_600x450.jpg,32.804827,-79.843054
https://charleston.craigslist.org/cto/d/2008-toyota-fj-cruiser/6711050141.html,charleston,13500,2008,toyota,"fj cruiser",excellent,"6 cylinders",gas,120000,clean,automatic,,rwd,full-size,SUV,custom,https://images.craigslist.org/00707_2tr6AXDMygf_600x450.jpg,34.187052,-80.285425
https://charleston.craigslist.org/cto/d/98-viper-gts-coupe/6718577097.html,charleston,27500,1998,dodge,"viper gts coupe",,,gas,,salvage,manual,,,,,,https://images.craigslist.org/00N0N_ifDMkWN0uox_600x450.jpg,33.8731,-79.0557
https://charleston.craigslist.org/cto/d/2003-ford-explorer-xlt/6718575129.html,charleston,3000,2003,ford,explorer,,"6 cylinders",gas,,clean,automatic,,rwd,full-size,,grey,https://images.craigslist.org/00k0k_fvzD5Y4Pn8U_600x450.jpg,32.808576,-80.004983
https://charleston.craigslist.org/cto/d/2000-fwd-lariat/6701184399.html,charleston,19500,2000,ford,"f250 lariat super duty",excellent,,diesel,,salvage,automatic,1FTNW21F9YEC50418,4wd,,truck,white,https://images.craigslist.org/00b0b_jtfYX4fAviu_600x450.jpg,33.8731,-79.0557
https://charleston.craigslist.org/cto/d/2005-toyota-sequoia-reliable/6706185153.html,charleston,8500,2005,toyota,sequoia,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00P0P_dnmrJtMYGdr_600x450.jpg,33.65961,-78.973675
https://charleston.craigslist.org/cto/d/1983-mercedes-benz-500sec-rare/6702125298.html,charleston,8500,1983,mercedes-benz,500sec,good,"8 cylinders",gas,,clean,automatic,,,,coupe,,https://images.craigslist.org/00A0A_FoHSWfWQYk_600x450.jpg,33.697179,-78.901062
https://charleston.craigslist.org/cto/d/family-buick-enclave-cxl/6710889600.html,charleston,4100,2012,buick,enclave,,,gas,,clean,automatic,,,,SUV,,https://images.craigslist.org/00c0c_izFl6p6JqiC_600x450.jpg,33.0963,-80.813
https://charleston.craigslist.org/cto/d/2001-chevy-tahoe/6718562976.html,charleston,2500,2001,chevy,tahoe,,,gas,,clean,automatic,,,,truck,,https://images.craigslist.org/00U0U_ka8xHbJIwXW_600x450.jpg,32.9352,-80.0325
https://charleston.craigslist.org/cto/d/2016-silverado-z71-ltz-crew/6707653943.html,charleston,33500,2016,chevrolet,"1500 silverado",excellent,"8 cylinders",gas,88500,clean,automatic,,4wd,,,grey,https://images.craigslist.org/01414_8fZHpPiOe7h_600x450.jpg,32.727814,-79.923477
https://charleston.craigslist.org/cto/d/1972-ltd-brougham/6711168547.html,charleston,2500,1972,ford,ltd,,,gas,,missing,automatic,,,,,,https://images.craigslist.org/00p0p_dYcEMzwKizx_600x450.jpg,32.7105,-80.2744
https://charleston.craigslist.org/cto/d/1997-f150-extended-cab/6718549497.html,charleston,6900,1997,,"1997 F150",excellent,"6 cylinders",gas,172315,clean,automatic,,rwd,full-size,pickup,white,https://images.craigslist.org/00202_7NjKI4GoeSM_600x450.jpg,32.8349,-81.0288
https://charleston.craigslist.org/cto/d/2003-chevrolet/6718545626.html,charleston,5000,2003,chevy,silverado,good,"8 cylinders",gas,200000,clean,automatic,,4wd,full-size,truck,custom,https://images.craigslist.org/00S0S_f28gKBuJveE_600x450.jpg,32.871503,-80.813194
https://charleston.craigslist.org/cto/d/chevy-impala/6718544150.html,charleston,2800,2006,chevy,"",,,gas,,clean,automatic,,,,,,https://images.craigslist.org/01515_ddITFyU0m07_600x450.jpg,32.7105,-80.2744
https://charleston.craigslist.org/cto/d/1991-mazda-rx-7/6696743262.html,charleston,8500,1991,mazda,rx-7,,,gas,158000,clean,manual,,,,,,https://images.craigslist.org/00000_dvKRe6pIZHY_600x450.jpg,,
